"User_ID sorted by SD","Ensembl_gene_id","symbol","sl_FLT_BA_Rep1","sl_FLT_BA_Rep2","sl_FLT_BA_Rep3","sl_FLT_BA_Rep4","sl_FLT_BA_Rep5","sl_FLT_BG_Rep1","sl_GC_BA_Rep1","sl_GC_BA_Rep2","sl_GC_BA_Rep3","sl_GC_BA_Rep4","sl_GC_BA_Rep5","sl_GC_BG_Rep1","UdCC_FLT_BB_Rep1","UdCC_FLT_BB_Rep2","UdCC_FLT_BB__Rep3","UdCC_FLT_BB_Rep4","UdCC_FLT_BG_Rep1","UdCC_FLT_BG_Rep2","UdCC_GC_BB_Rep1","UdCC_GC_BB_Rep2","UdCC_GC_BB_Rep3","UdCC_GC_BB_Rep4","UdCC_GC_BG_Rep1","UdCC_GC_BG_Rep2"
" AT1G65295","AT1G65295","",2,2,2,2,2,2,1,1,2,1,2,2,1,1,1,1,1,1,2,1,1,3,2,1
" AT1G71820","AT1G71820","",2,3,2,2,2,2,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,1,1
" AT1G72850","AT1G72850","",1,1,1,1,1,2,2,1,1,2,2,1,2,2,1,2,1,1,3,2,2,2,1,2
" AT1G76900","AT1G76900","",2,1,1,1,2,1,1,2,1,1,2,2,1,2,2,1,1,2,2,3,2,1,1,2
" AT1G77800","AT1G77800","",1,1,1,2,2,2,2,2,1,2,1,1,3,2,2,2,1,1,2,1,1,2,1,1
" AT2G03150","AT2G03150","",2,2,2,2,2,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1
" AT2G16640","AT2G16640","",2,2,1,2,2,3,2,2,2,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1
" AT2G17700","AT2G17700","",1,1,2,1,1,2,1,2,1,1,1,2,3,1,2,1,1,1,2,2,2,2,2,2
" AT2G26600","AT2G26600","",2,2,1,2,2,2,1,2,2,2,1,2,1,1,2,1,1,1,3,1,1,1,1,2
" AT2G39550","AT2G39550","",2,2,2,2,2,2,2,2,3,2,1,2,1,1,1,1,1,1,1,1,1,2,1,1
" AT2G41010","AT2G41010","",1,1,1,1,2,2,1,1,2,2,1,1,1,2,3,1,1,2,1,2,2,2,2,2
" AT2G43210","AT2G43210","",1,2,2,2,2,2,1,2,2,2,1,2,2,1,1,1,1,1,1,1,1,3,2,1
" AT2G47140","AT2G47140","",1,1,2,1,1,1,1,2,1,1,1,1,2,2,2,1,2,2,2,2,1,2,3,2
" AT2G47850","AT2G47850","",2,2,1,2,1,2,1,2,1,2,2,1,1,2,1,1,1,2,2,1,1,3,1,2
" AT3G02190","AT3G02190","",2,1,2,2,3,2,1,2,1,2,2,2,2,1,1,1,1,1,1,2,1,1,2,1
" AT3G02710","AT3G02710","",1,2,2,2,2,2,2,2,1,2,1,2,1,1,1,1,3,1,1,1,2,1,2,1
" AT3G04050","AT3G04050","",1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,2,2,3,2,2,2,2,1,2
" AT3G09720","AT3G09720","",1,2,1,1,2,1,2,2,2,1,1,1,2,2,2,1,1,1,3,1,2,2,1,2
" AT3G12090","AT3G12090","",2,2,2,2,2,2,1,1,2,2,2,3,1,1,2,1,1,1,1,1,1,2,1,1
" AT3G13120","AT3G13120","",2,3,1,2,2,2,2,2,1,2,2,1,2,1,1,1,1,1,1,1,1,2,2,1
